Geography,Total; Estimate; Total population
"Dolgeville Central School District, New York",5848
"Sauquoit Valley Central School District, New York",6355
"Edwards-Knox Central School District, New York",3334
"Rotterdam-Mohonasen Central School District, New York",20207
"Broadalbin-Perth Central School District, New York",10539
"Cherry Valley-Springfield Central School District, New York",4038
"Jasper-Troupsburg Central School District, New York",3485
"South Country Central School District, New York",31265
"Saranac Central School District, New York",13139
"Cobleskill-Richmondville Central School District, New York",13735
"Wayland-Cohocton Central School District, New York",9071
"Bolivar-Richburg Central School District, New York",4365
"Oneida City School District, New York",15638
"Waterloo Central School District, New York",12142
"Allegany-Limestone Central School District, New York",9150
"Averill Park Central School District, New York",19776
"Genesee Valley Central School District, New York",4069
"Chautauqua Lake Central School District, New York",5537
"Unadilla Valley Central School District, New York",5699
"Campbell-Savona Central School District, New York",5152
"Mattituck-Cutchogue Union Free School District, New York",9545
"Sullivan West Central School District, New York",10230
"Canisteo-Greenwood Central School District, New York",5921
"Eastport-South Manor Central School District, New York",19903
"North Colonie Central School District, New York",40727
"Central Valley School District, New York",14575
"Oppenheim-Ephratah-St. Johnsville Central School District, New York",6054
"Glens Falls Common School District, New York",2370
"South Jefferson Central School District, New York",11371
"Addison Central School District, New York",7318
"Afton Central School District, New York",3692
"Akron Central School District, New York",9693
"Albany City School District, New York",98425
"Albion Central School District, New York",14959
"Alden Central School District, New York",13049
"Alexander Central School District, New York",5217
"Alexandria Central School District, New York",3824
"Alfred-Almond Central School District, New York",7645
"Windsor Central School District, New York",11489
"Altmar-Parish-Williamstown Central School District, New York",7393
"Amagansett Union Free School District, New York",1220
"Amherst Central School District, New York",24036
"Amityville Union Free School District, New York",28534
"Amsterdam City School District, New York",25368
"Andes Central School District, New York",1065
"Andover Central School District, New York",2034
"Schenevus Central School District, New York",2568
"Ardsley Union Free School District, New York",9553
"Argyle Central School District, New York",3915
"Arkport Central School District, New York",2752
"Arlington Central School District, New York",57016
"Attica Central School District, New York",13449
"Auburn City School District, New York",33462
"Avoca Central School District, New York",3453
"Avon Central School District, New York",7213
"Babylon Union Free School District, New York",11006
"Bainbridge-Guilford Central School District, New York",5067
"Baldwin Union Free School District, New York",33057
"Baldwinsville Central School District, New York",35892
"Ballston Spa Central School District, New York",28062
"Barker Central School District, New York",5009
"Batavia City School District, New York",18132
"Bath Central School District, New York",11569
"Bay Shore Union Free School District, New York",37225
"Bayport-Blue Point Union Free School District, New York",12899
"Beacon City School District, New York",27087
"Beaver River Central School District, New York",5671
"Beekmantown Central School District, New York",13307
"Belfast Central School District, New York",2514
"Belleville Henderson Central School District, New York",3620
"Bemus Point Central School District, New York",5449
"Berlin Central School District, New York",6697
"Berne-Knox-Westerlo Central School District, New York",6498
"Bethlehem Central School District, New York",28641
"Bethpage Union Free School District, New York",18754
"Gilbertsville-Mount Upton Central School District, New York",3345
"Kiryas Joel Village Union Free School District, New York",21665
"Binghamton Common School District, New York",404
"Binghamton City School District, New York",46277
"East Bloomfield Central School District, New York",6366
"Bolton Central School District, New York",1719
"Adirondack Central School District, New York",8264
"Bradford Central School District, New York",1949
"Brentwood Union Free School District, New York",90298
"Brewster Central School District, New York",21875
"Briarcliff Manor Union Free School District, New York",7636
"Bridgehampton Union Free School District, New York",1018
"Brighton Central School District, New York",23654
"Brunswick Central School District (Brittonkill), New York",8045
"Brockport Central School District, New York",27883
"Brocton Central School District, New York",5000
"Bronxville Union Free School District, New York",6395
"Brookfield Central School District, New York",1571
"Brushton-Moira Central School District, New York",5245
"Buffalo City School District, New York",258989
"Burnt Hills-Ballston Lake Central School District, New York",18608
"Byram Hills Central School District, New York",11387
"Byron-Bergen Central School District, New York",7165
"Cairo-Durham Central School District, New York",9535
"Caledonia-Mumford Central School District, New York",5447
"Cambridge Central School District, New York",6277
"Camden Central School District, New York",12788
"Canajoharie Central School District, New York",6483
"Canandaigua City School District, New York",26307
"Canaseraga Central School District, New York",1806
"Canastota Central School District, New York",9657
"Candor Central School District, New York",4783
"Canton Central School District, New York",12050
"Spackenkill Union Free School District, New York",9518
"Carle Place Union Free School District, New York",9325
"Carmel Central School District, New York",29819
"Carthage Central School District, New York",18149
"Cassadaga Valley Central School District, New York",7109
"Cato-Meridian Central School District, New York",5802
"Catskill Central School District, New York",12177
