ENTITY_CD,ENTITY_NAME,YEAR,ATTENDANCE_RATE,NUM_SUSPENSIONS,PER_SUSPENSIONS
010100010000,ALBANY CITY SCHOOL DISTRICT,2013,93,1292,16
010100010014,MONTESSORI MAGNET SCHOOL,2013,95,6,2
010100010016,PINE HILLS ELEMENTARY SCHOOL,2013,93,12,3
010100010018,DELAWARE COMMUNITY SCHOOL,2013,92,28,7
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2013,95,4,1
010100010020,NORTH ALBANY ACADEMY,2013,93,110,32
010100010023,ALBANY SCHOOL OF HUMANITIES,2013,94,30,6
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2013,94,31,10
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2013,94,33,8
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2013,92,66,17
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2013,93,216,36
010100010034,ALBANY HIGH SCHOOL,2013,91,474,21
010100010000,ALBANY CITY SCHOOL DISTRICT,2014,93,1263,15
010100010014,MONTESSORI MAGNET SCHOOL,2014,95,6,2
010100010016,PINE HILLS ELEMENTARY SCHOOL,2014,94,19,5
010100010018,DELAWARE COMMUNITY SCHOOL,2014,94,21,5
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2014,96,13,3
010100010020,NORTH ALBANY ACADEMY,2014,93,83,22
010100010023,ALBANY SCHOOL OF HUMANITIES,2014,90,2,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2014,94,49,14
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2014,95,16,4
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2014,92,70,17
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2014,93,239,35
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2013,93,50,15
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2013,91,10,3
010100010044,SHERIDAN PREPARATORY ACADEMY,2013,91,73,19
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2013,95,149,22
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2013,93,56,21
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2013,94,15,6
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2013,96,107,35
010100860892,HENRY JOHNSON CHARTER SCHOOL,2013,92,47,12
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2013,94,29,6
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2013,81,71,20
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2013,88,31,9
010100010034,ALBANY HIGH SCHOOL,2014,92,459,20
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2014,93,71,21
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2014,91,37,12
010100010044,SHERIDAN PREPARATORY ACADEMY,2014,92,57,16
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2014,94,121,18
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2014,93,43,16
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2014,92,33,12
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2014,96,99,32
010100860892,HENRY JOHNSON CHARTER SCHOOL,2014,91,22,6
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2014,95,33,6
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2014,89,144,41
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2013,93,55,36
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2013,92,8,5
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2013,95,51,6
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2013,98,36,7
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2013,96,15,4
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2013,96,98,2
010306060003,ELSMERE ELEMENTARY SCHOOL,2013,97,2,1
010306060004,GLENMONT ELEMENTARY SCHOOL,2013,97,0,0
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2013,97,0,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2013,97,3,1
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2013,97,7,1
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2013,95,86,5
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2014,86,14,4
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2014,89,111,52
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2014,89,55,25
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2014,95,42,5
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014,95,39,9
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2014,96,3,1
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2014,97,83,2
010306060003,ELSMERE ELEMENTARY SCHOOL,2014,97,2,1
