ENTITY_CD,ENTITY_NAME,YEAR,COMMON_BRANCH,GRADE_8_MATH,GRADE_8_ENGLISH,GRADE_8_SCI,GRADE_8_SS,GRADE_10_ENGLISH,GRADE_10_MATH,GRADE_10_SCI,GRADE_10_SS
000000000001,NYC Public Schools,2016,25,27,27,27,27,,,,
000000000002,Large Cities,2016,23,22,22,23,23,23,19,23,23
000000000003,High Need/Resource Urban-Suburban Districts,2016,22,21,21,21,21,22,22,23,23
000000000004,High Need/Resource Rural Districts,2016,19,17,18,18,19,18,16,17,18
000000000005,Average Need Districts,2016,21,21,21,21,22,21,20,20,22
000000000006,Low Need Districts,2016,21,22,22,23,23,22,21,21,22
000000000007,Charter Schools,2016,25,23,23,23,23,22,21,22,22
000001000000,ALBANY County,2016,21,21,22,21,22,22,20,19,21
000002000000,ALLEGANY County,2016,17,15,17,16,18,17,14,17,16
000003000000,BROOME County,2016,19,19,19,19,18,19,18,19,20
000004000000,CATTARAUGUS County,2016,18,16,16,18,17,17,15,16,16
000005000000,CAYUGA County,2016,19,18,18,19,19,20,19,21,19
000006000000,CHAUTAUQUA County,2016,19,19,19,19,20,19,15,18,19
000007000000,CHEMUNG County,2016,20,22,21,22,22,23,25,23,21
000008000000,CHENANGO County,2016,18,17,18,16,17,17,13,14,19
000000000001,NYC Public Schools,2014,26,27,28,27,28,,,,
000000000001,NYC Public Schools,2015,25,28,28,28,28,,,,
000009000000,CLINTON County,2016,19,18,17,17,18,19,17,18,21
000010000000,COLUMBIA County,2016,21,18,18,19,20,19,17,15,20
000011000000,CORTLAND County,2016,19,16,16,17,17,16,12,19,13
000012000000,DELAWARE County,2016,16,17,17,16,18,17,11,18,17
000013000000,DUTCHESS County,2016,22,21,21,22,22,24,23,22,23
000014000000,ERIE County,2016,22,21,21,22,22,22,20,21,22
000015000000,ESSEX County,2016,16,12,13,14,13,14,10,16,14
000016000000,FRANKLIN County,2016,18,16,15,16,18,17,17,16,18
000017000000,FULTON County,2016,20,20,18,17,18,19,18,19,19
000018000000,GENESEE County,2016,18,18,18,19,19,17,14,15,17
000019000000,GREENE County,2016,19,18,20,19,21,20,15,14,15
000020000000,HAMILTON County,2016,8,5,9,9,9,6,5,10,7
000021000000,HERKIMER County,2016,19,16,17,18,18,20,15,18,19
000022000000,JEFFERSON County,2016,20,18,18,21,19,20,18,17,20
000000000002,Large Cities,2014,23,23,22,23,23,22,21,23,23
000000000002,Large Cities,2015,23,21,22,23,23,22,21,24,23
000000000003,High Need/Resource Urban-Suburban Districts,2015,23,22,21,22,22,24,21,23,24
000000000004,High Need/Resource Rural Districts,2015,19,18,18,18,19,18,16,18,18
000000000005,Average Need Districts,2015,21,21,21,22,22,22,20,21,22
000000000006,Low Need Districts,2015,21,22,22,22,23,22,21,21,22
000000000007,Charter Schools,2015,25,23,23,24,23,21,20,21,21
000001000000,ALBANY County,2015,22,22,21,23,23,23,22,20,21
