ENTITY_CD,ENTITY_NAME,YEAR,PK,PKHALF,PKFULL,KHALF,KFULL,1,2,3,4,5,6,7,8,9,10,11,12,UGE,UGS
000000000001,NYC Public Schools,2014,55625,,,0,73987,79226,75278,73069,70770,68599,67037,68011,70409,84206,80323,66325,62476,9500,10362
000000000002,Large Cities,2014,7176,,,0,9042,9214,8840,8074,8071,7972,7844,7946,7718,9322,7647,6364,6630,577,785
000000000003,High Need/Resource Urban-Suburban Districts,2014,11043,,,993,16412,17187,16748,15642,15098,15111,14759,14895,14579,16519,15254,13427,13380,944,1141
000000000004,High Need/Resource Rural Districts,2014,6557,,,25,12061,11763,11537,11004,11044,11140,11160,11716,11661,12314,11712,11062,10925,406,744
000000000001,NYC Public Schools,2015,65544,13806,51738,0,73560,76611,76965,73401,72253,68490,66744,67216,68368,85567,79905,66162,62407,9478,10545
000000000002,Large Cities,2015,7250,2349,4901,0,8962,9035,8881,8510,7962,7774,7765,7615,7792,9048,7831,6501,6671,600,828
000000000003,High Need/Resource Urban-Suburban Districts,2015,11633,7423,4210,1039,16351,17434,16816,16408,15526,14834,15036,14797,14912,16994,15381,13844,13558,956,1239
000000000004,High Need/Resource Rural Districts,2015,6648,3833,2815,25,11594,11663,11350,11254,10747,10939,11062,11214,11559,11988,11601,10959,10807,399,727
000000000005,Average Need Districts,2015,18549,14231,4318,2095,50566,54421,55238,55577,55307,56535,58499,57619,58870,62412,60402,59106,60072,2415,4068
000000000005,Average Need Districts,2014,17990,,,3058,51103,55406,55639,55180,56414,58314,58240,59069,60356,62402,61347,59476,61160,2527,3968
000000000006,Low Need Districts,2014,2862,,,3027,20120,24883,25592,26125,27836,28719,28905,30483,32159,31313,31945,32215,32806,993,1589
000000000007,Charter Schools,2014,0,,,0,11635,10978,9622,8527,7220,8330,8366,6656,5236,6000,4195,2875,2188,54,45
000001000000,ALBANY County,2014,953,,,218,2613,2952,2937,2878,2853,2969,2924,2956,3025,3191,3092,2886,2886,150,230
000000000006,Low Need Districts,2015,2953,2474,479,1974,20766,24256,25411,25953,26547,28188,28934,30383,30643,31818,31448,31862,32244,964,1634
000000000007,Charter Schools,2015,1,0,1,1,12706,12740,11007,9553,8262,9423,9562,8394,6392,6767,5085,3577,2730,79,74
000001000000,ALBANY County,2015,1066,215,851,247,2672,2910,2899,2899,2879,2854,2960,2920,2943,3362,2929,2980,2865,142,237
000002000000,ALLEGANY County,2015,338,303,35,0,489,484,446,476,475,489,503,504,495,519,480,502,482,10,32
000003000000,BROOME County,2015,1082,707,375,0,2100,2032,1997,1978,1975,1939,2025,1957,2184,2168,2067,2026,1862,78,167
000000000001,NYC Public Schools,2016,71430,2819,68611,0,73497,75783,74904,74991,72622,70451,66287,66798,67720,82681,80231,65541,62599,9691,11207
000000000002,Large Cities,2016,7316,1044,6272,0,8411,8782,8681,8590,8262,7566,7546,7416,7392,9271,7785,6343,6601,607,879
000000000003,High Need/Resource Urban-Suburban Districts,2016,12088,6997,5091,565,16008,16942,16885,16410,16039,15230,14629,14963,14756,16936,15696,14085,14063,978,1301
000000000004,High Need/Resource Rural Districts,2016,6705,3476,3229,0,11111,11177,11368,11089,11066,10751,10877,11094,11047,11970,11281,10814,10743,423,774
000000000005,Average Need Districts,2016,19079,14303,4776,1831,50115,53228,54473,55228,55878,55555,56883,57914,57644,60712,60467,58232,59619,2294,4076
000000000006,Low Need Districts,2016,2935,2380,555,574,22202,23747,24823,25834,26409,26973,28554,30422,30543,30296,32018,31328,31921,958,1676
000000000007,Charter Schools,2016,2,0,2,0,12816,13196,12771,10735,9076,9752,10924,9341,7849,7536,5717,4411,3366,63,64
000001000000,ALBANY County,2016,1101,239,862,0,2890,2995,2933,2927,2881,2897,2848,2970,2874,3258,3090,2797,2962,148,245
000002000000,ALLEGANY County,2016,344,302,42,0,457,488,461,443,469,479,495,521,494,508,499,460,503,15,39
000002000000,ALLEGANY County,2014,366,,,0,494,468,496,492,491,513,486,518,511,501,531,477,509,17,21
000003000000,BROOME County,2014,1034,,,0,2157,2054,2000,1983,1968,2047,1969,2209,2121,2208,2131,1885,2018,82,146
000004000000,CATTARAUGUS County,2014,710,,,0,998,976,979,941,944,996,1021,1020,995,1074,1023,951,951,34,73
000004000000,CATTARAUGUS County,2015,685,274,411,0,1018,947,958,983,962,943,1021,995,1007,1003,1022,965,947,29,56
000005000000,CAYUGA County,2015,507,166,341,0,701,724,670,713,637,668,685,732,708,786,742,679,714,17,2
000006000000,CHAUTAUQUA County,2015,995,633,362,0,1452,1381,1437,1458,1374,1379,1414,1492,1500,1519,1486,1451,1406,58,117
