ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,BOCES_CD,BOCES_NAME,COUNTY_CD,COUNTY_NAME,NEEDS_INDEX
010100010014,MONTESSORI MAGNET SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010016,PINE HILLS ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010018,DELAWARE COMMUNITY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010020,NORTH ALBANY ACADEMY,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010023,ALBANY SCHOOL OF HUMANITIES,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010034,ALBANY HIGH SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010044,SHERIDAN PREPARATORY ACADEMY,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2015,01010001,ALBANY CITY SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,3
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860892,HENRY JOHNSON CHARTER SCHOOL,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2015,,,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,7
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015,01020104,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,5
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2015,01020104,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,5
010306060003,ELSMERE ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060004,GLENMONT ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010306060009,EAGLE ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,6
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2015,01040206,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,0190,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,01,ALBANY,5
