County,Year,Violent,Property
Albany,2013,"1,006","8,451"
Albany,2014,"1,003","8,178"
Albany,2015,"1,041","7,600"
Albany,2016,"1,099","7,668"
Albany,2017,"1,158","7,572"
Allegany,2013,54,742
Allegany,2014,68,547
Allegany,2015,57,522
Allegany,2016,81,490
Allegany,2017,79,428
Bronx,2013,"13,020","23,260"
Bronx,2014,"12,713","23,317"
Bronx,2015,"13,409","22,890"
Bronx,2016,"13,817","23,017"
Bronx,2017,"12,534","22,973"
Broome,2013,512,"6,194"
Broome,2014,496,"5,822"
Broome,2015,623,"5,836"
Broome,2016,641,"4,772"
Broome,2017,695,"4,879"
Cattaraugus,2013,115,"1,650"
Cattaraugus,2014,133,"1,309"
Cattaraugus,2015,125,"1,154"
Cattaraugus,2016,138,"1,093"
Cattaraugus,2017,130,"1,022"
Cayuga,2013,128,"1,389"
Cayuga,2014,138,"1,418"
Cayuga,2015,196,"1,357"
Cayuga,2016,184,"1,243"
Cayuga,2017,236,"1,092"
Chautauqua,2013,274,"3,363"
Chautauqua,2014,296,"3,239"
Chautauqua,2015,354,"2,955"
Chautauqua,2016,356,"2,963"
Chautauqua,2017,346,"2,432"
Chemung,2013,151,"2,050"
Chemung,2014,151,"1,985"
Chemung,2015,159,"1,744"
Chemung,2016,172,"1,892"
Chemung,2017,143,"1,424"
Chenango,2013,48,878
Chenango,2014,50,859
Chenango,2015,101,748
Chenango,2016,99,867
Chenango,2017,73,548
Clinton,2013,111,"1,554"
Clinton,2014,68,"1,240"
Clinton,2015,115,"1,136"
Clinton,2016,135,"1,260"
Clinton,2017,136,"1,078"
Columbia,2013,76,"1,051"
Columbia,2014,47,879
Columbia,2015,103,792
Columbia,2016,100,734
Columbia,2017,134,828
Cortland,2013,51,"1,013"
Cortland,2014,49,"1,032"
Cortland,2015,51,700
Cortland,2016,43,777
Cortland,2017,49,945
Delaware,2013,56,750
Delaware,2014,58,711
Delaware,2015,79,661
Delaware,2016,98,573
Delaware,2017,58,461
Dutchess,2013,584,"4,537"
Dutchess,2014,561,"4,270"
Dutchess,2015,558,"3,960"
Dutchess,2016,565,"3,549"
Dutchess,2017,533,"2,911"
Erie,2013,"4,089","25,206"
Erie,2014,"3,932","24,481"
Erie,2015,"3,788","22,303"
Erie,2016,"3,792","22,026"
Erie,2017,"3,463","19,908"
Essex,2013,43,406
Essex,2014,44,297
Essex,2015,46,336
Essex,2016,57,338
Essex,2017,63,354
Franklin,2013,61,815
Franklin,2014,53,797
Franklin,2015,88,753
Franklin,2016,108,598
Franklin,2017,100,586
Fulton,2013,62,"1,465"
Fulton,2014,63,"1,402"
Fulton,2015,123,"1,186"
Fulton,2016,149,"1,032"
Fulton,2017,118,969
Genesee,2013,109,"1,358"
Genesee,2014,112,"1,406"
Genesee,2015,115,"1,084"
