ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH,NUM_LEP,PER_LEP,NUM_AM_IND,PER_AM_IND,NUM_BLACK,PER_BLACK,NUM_HISP,PER_HISP,NUM_ASIAN,PER_ASIAN,NUM_WHITE,PER_WHITE,NUM_Multi,PER_Multi,NUM_SWD,PER_SWD,NUM_FEMALE,PER_FEMALE,NUM_MALE,PER_MALE,NUM_ECDIS,PER_ECDIS
000009000000,CLINTON County,2016,4476,42,603,6,20,0,26,0,231,2,119,1,85,1,10039,95,81,1,1886,18,5103,48,5478,52,5355,51
000010000000,COLUMBIA County,2016,3003,43,391,6,250,4,7,0,532,8,579,8,236,3,5402,77,292,4,1196,17,3371,48,3677,52,3564,51
000011000000,CORTLAND County,2016,2562,41,498,8,16,0,3,0,107,2,153,2,39,1,5744,93,158,3,880,14,3012,49,3192,51,3190,51
000012000000,DELAWARE County,2016,2478,46,452,8,41,1,12,0,64,1,258,5,51,1,4926,91,83,2,821,15,2725,51,2669,49,2980,55
000013000000,DUTCHESS County,2016,10370,26,1793,5,1098,3,34,0,4765,12,6491,16,1455,4,25925,65,1139,3,5939,15,19597,49,20212,51,14361,36
000014000000,ERIE County,2016,48401,40,4921,4,6270,5,1135,1,24239,20,10450,9,5537,5,77344,63,3595,3,19713,16,60439,49,61861,51,59692,49
000015000000,ESSEX County,2016,1494,41,327,9,2,0,8,0,29,1,23,1,44,1,3474,96,39,1,616,17,1781,49,1836,51,1961,54
000016000000,FRANKLIN County,2016,3454,48,557,8,1,0,991,14,35,0,61,1,35,0,5986,83,87,1,1133,16,3450,48,3745,52,4153,58
000017000000,FULTON County,2016,3488,47,456,6,13,0,6,0,181,2,230,3,53,1,6840,92,148,2,1043,14,3657,49,3801,51,4288,57
000018000000,GENESEE County,2016,2882,36,561,7,76,1,9,0,225,3,386,5,58,1,6967,88,315,4,891,11,3888,49,4072,51,3650,46
000019000000,GREENE County,2016,2455,42,323,5,47,1,9,0,242,4,378,6,68,1,5003,85,210,4,994,17,2937,50,2973,50,2849,48
000020000000,HAMILTON County,2016,145,35,37,9,0,0,0,0,6,1,9,2,3,1,393,95,2,0,52,13,190,46,223,54,190,46
000021000000,HERKIMER County,2016,4067,45,672,7,48,1,9,0,142,2,101,1,55,1,8577,96,93,1,1239,14,4523,50,4454,50,4948,55
