GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
1,Total Public,111111111111,All Public Schools
2,County Public Schools,000001000000,ALBANY County
2,County Public Schools,000002000000,ALLEGANY County
2,County Public Schools,000003000000,BROOME County
2,County Public Schools,000004000000,CATTARAUGUS County
2,County Public Schools,000005000000,CAYUGA County
2,County Public Schools,000006000000,CHAUTAUQUA County
2,County Public Schools,000007000000,CHEMUNG County
2,County Public Schools,000008000000,CHENANGO County
2,County Public Schools,000009000000,CLINTON County
2,County Public Schools,000010000000,COLUMBIA County
2,County Public Schools,000011000000,CORTLAND County
2,County Public Schools,000012000000,DELAWARE County
2,County Public Schools,000013000000,DUTCHESS County
2,County Public Schools,000014000000,ERIE County
2,County Public Schools,000015000000,ESSEX County
2,County Public Schools,000016000000,FRANKLIN County
2,County Public Schools,000017000000,FULTON County
2,County Public Schools,000018000000,GENESEE County
2,County Public Schools,000019000000,GREENE County
2,County Public Schools,000020000000,HAMILTON County
2,County Public Schools,000021000000,HERKIMER County
2,County Public Schools,000022000000,JEFFERSON County
2,County Public Schools,000023000000,LEWIS County
2,County Public Schools,000024000000,LIVINGSTON County
2,County Public Schools,000025000000,MADISON County
2,County Public Schools,000026000000,MONROE County
2,County Public Schools,000027000000,MONTGOMERY County
2,County Public Schools,000028000000,NASSAU County
2,County Public Schools,000030000000,NYC Public Schools
2,County Public Schools,000031000000,NEW YORK County
2,County Public Schools,000032000000,BRONX County
2,County Public Schools,000033000000,KINGS County
2,County Public Schools,000034000000,QUEENS County
2,County Public Schools,000035000000,RICHMOND County
2,County Public Schools,000040000000,NIAGARA County
2,County Public Schools,000041000000,ONEIDA County
2,County Public Schools,000042000000,ONONDAGA County
2,County Public Schools,000043000000,ONTARIO County
2,County Public Schools,000044000000,ORANGE County
2,County Public Schools,000045000000,ORLEANS County
2,County Public Schools,000046000000,OSWEGO County
2,County Public Schools,000047000000,OTSEGO County
2,County Public Schools,000048000000,PUTNAM County
2,County Public Schools,000049000000,RENSSELAER County
2,County Public Schools,000050000000,ROCKLAND County
2,County Public Schools,000051000000,ST. LAWRENCE County
2,County Public Schools,000052000000,SARATOGA County
2,County Public Schools,000053000000,SCHENECTADY County
2,County Public Schools,000054000000,SCHOHARIE County
2,County Public Schools,000055000000,SCHUYLER County
2,County Public Schools,000056000000,SENECA County
2,County Public Schools,000057000000,STEUBEN County
2,County Public Schools,000058000000,SUFFOLK County
