ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_TEACH,NUM_NO_VALID_CERT,PER_NO_VALID_CERT,NUM_TEACH_OUT_CERT,PER_TEACH_OUT_CERT,NUM_FEWER_3YRS_EXP,PER_FEWER_3YRS_EXP,NUM_MAS_PLUS,PER_MAS_PLUS,NUM_CORE,PER_NOT_HQ,NUM_CLASS,NUM_NO_APPROP_CERT,PER_NO_APPROP_CERT,PER_TURN_FIVE_YRS,PER_TURN_ALL,NUM_FT_OTH_PROF_STAFF,NUM_PT_OTH_PROF_STAFF,NUM_FT_PARAPROFESSIONALS,NUM_PT_PARAPROFESSIONALS,NUM_FT_ASST_PRINCIPALS,NUM_PT_ASST_PRINCIPALS,NUM_FT_PRINCIPALS,NUM_PT_PRINCIPALS
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2014,,,DUSTIN MITCHELL,1 DUDLEY HEIGHTS,ALBANY,5186949494,5-8,17,1,6,1,6,5,29,1,6,18,0,33,2,6,21,30,6,0,0,0,1,0,1,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2014,,,JEROME WATTS,30 WATERVLIET AVE,ALBANY,5184324300,K-4,35,1,3,1,3,6,17,1,3,37,5,57,1,2,31,42,20,1,0,0,0,0,1,0
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2015,,,MARCUS PUCCIONI,250 CENTRAL AVE,ALBANY,5186944100,K-4,23,2,9,2,9,8,35,1,4,44,5,68,2,3,46,38,12,0,0,0,1,0,2,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2015,,,DUSTIN MITCHELL,1 DUDLEY HEIGHTS,ALBANY,5186949494,5-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,6,0,0,0,3,0,2,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2015,,,TIFFANI CURTIS,30 WATERVLIET AVE,ALBANY,5184324300,K-4,35,1,3,1,3,4,11,2,6,35,0,51,1,2,6,11,20,0,0,0,0,0,2,0
010100010000,ALBANY CITY SCHOOL DISTRICT,2014,01010001,ALBANY CITY SD,MARGUERITE VANDEN WYNGAARD,ACADEMY PARK,ALBANY,5184756010,"PK-12, UE, US",650,0,0,6,1,29,4,91,14,1353,0,1996,25,1,19,16,170,2,173,0,8,0,16,0
010100010014,MONTESSORI MAGNET SCHOOL,2014,01010001,ALBANY CITY SD,MALIK JONES,65 TREMONT ST,ALBANY,5184756675,"PK-5, UE",24,0,0,0,0,0,0,5,21,29,0,42,0,0,0,18,2,0,0,0,0,0,1,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2014,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,K-6,24,0,0,0,0,3,13,3,13,20,0,34,0,0,0,25,2,0,0,0,0,0,1,0
010100010000,ALBANY CITY SCHOOL DISTRICT,2015,01010001,ALBANY CITY SD,MARGUERITE VANDEN WYNGAARD,ACADEMY PARK,ALBANY,5184756010,"K-12, UE, US",647,1,0,9,1,40,6,91,14,1267,1,1991,39,2,12,13,178,2,169,2,8,0,17,0
010100010014,MONTESSORI MAGNET SCHOOL,2015,01010001,ALBANY CITY SD,MALIK JONES,65 TREMONT ST,ALBANY,5184756675,"K-5, UE",20,0,0,0,0,0,0,6,30,17,0,34,0,0,,,5,0,0,0,0,0,1,0
