"COUNTY_NAME","ENTITY_CD","ENTITY_NAME","DISTRICT_NAME","PROF_LEVEL","PER_FREE_LUNCH","PER_REDUCED_LUNCH","PER_LEP","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_ECDIS","PER_SUSPENSIONS","MEAN_CLASS_SIZE","MEAN_ENROLL","PER_NOT_HQ","STUD_TEACH_RATIO","PER_HS_DEGREE","MEAN_INC","EXP_PER_ST","MEAN_TEACH_SCORE","CHARTER","VIOL_CRIME_PER_CITIZEN","PROP_CRIME_PER_CITIZEN","TOTAL_DIST_POP"
"BRONX","320700861014","BRILLA COLLEGE PREPARATORY CHARTER SCHOOL",NA,"Proficient",65.667,4.667,20,0,28,70,0,1,1.333,18.667,50.667,87.333,1.667,28.333,169,2.667,9.054,32.14,175918.227,123130.178,87.825,1,0.00911660408481436,0.0160715764710795,6872590.24573496
"QUEENS","343000010069","PS 69 JACKSON HEIGHTS","NEW YORK CITY GEOGRAPHIC DISTRICT #30","Proficient",50.333,2.333,18.667,0.667,0.667,41.333,48,8.333,0.667,10,49.667,52.333,0,28.333,943.667,0,15.22,19.436,80969.632,27562551.395,86,0,0.00464932850969108,0.0126289441911748,8461961
"BRONX","320700010359","CONCOURSE VILLAGE ELEMENTARY SCHOOL","NEW YORK CITY GEOGRAPHIC DISTRICT # 7","Proficient",97.333,1.333,28.333,1,36,60,0,2.333,0,25,42.667,98.667,0,21.333,171.333,2.667,6.425,45.641,103417.975,151808527.237,88.154,0,0.00911660408481436,0.0160715764710795,8461961
"WESTCHESTER","660701030002","CHATSWORTH AVENUE SCHOOL","MAMARONECK UNION FREE SCHOOL DISTRICT","Proficient",4,0,2.333,0,2,7.667,3.667,83.333,3.333,6,50.333,5,0,22.333,538,0,12.709,26.264,95333.409,229005.576,89.902,0,0.00217533730418714,0.0107248132278337,29049
"WESTCHESTER","662001030001","EDGEWOOD SCHOOL","SCARSDALE UNION FREE SCHOOL DISTRICT","Proficient",0,0,6.333,0,0.667,7.333,28.667,56.667,6.333,8,45.667,0,0,20.333,345.667,0,10.582,31.553,69256.748,403805.207,93.338,0,0.00217533730418714,0.0107248132278337,18342
"MONROE","261201060005","SCRIBNER ROAD ELEMENTARY SCHOOL","PENFIELD CENTRAL SCHOOL DISTRICT","Proficient",7,2,3.667,0,4.667,5.667,2,83.333,4,5.333,50.667,10.667,0.333,21.333,455.333,0,10.427,28.905,197998.955,183437.042,83.526,0,0.0033319274567693,0.0240602427005643,32181
"NASSAU","280407030008","LAKEVILLE ELEMENTARY SCHOOL","GREAT NECK UNION FREE SCHOOL DISTRICT","Proficient",7.333,3.667,5.333,0,2,7.667,59.333,29,2,10.667,48.333,11.667,0,20.333,747,0,10.423,24.9,153606,281104.418,84.59,0,0.00141715697438313,0.0106720145400836,45310
"FRANKLIN","160801040002","CHATEAUGAY HIGH SCHOOL","CHATEAUGAY CENTRAL SCHOOL DISTRICT","Proficient",31.667,5.667,0,1,0,0,0,99,0,12.667,47.667,38.333,4,18.661,228.667,1,10.719,46.139,214531.12,51319.242,84.411,0,0.00160762248318858,0.0139157370556982,3079
"SUFFOLK","580901020001","REMSENBURG-SPEONK ELEMENTARY SCHOOL","REMSENBURG-SPEONK UNION FREE SCHOOL DISTRICT","Proficient",9.667,2,2.667,0,3.333,10,1,84.667,0.667,14.667,50.333,12.333,1,20,135,1.333,5.625,17.796,156782.983,89770.37,86.6,0,0.00122526082516204,0.0147749527744588,1481
"QUEENS","342600010266","PS/IS 266","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",36,12,2.667,1,11.333,20.667,44.667,21.667,0.667,17.333,47.667,47.667,0.667,28.267,583,3,14.336,27.195,125550.088,44613826.758,83.425,0,0.00464932850969108,0.0126289441911748,8461961
"WESTCHESTER","660412020004","KAPLAN CAREER ACADEMY","GREENBURGH-NORTH CASTLE UNION FREE SCHOOL DISTRICT","Proficient",41,7,4.667,0,38,26.333,0.667,32.667,2.333,97.667,33.667,51,41.667,6.139,57.333,7.667,4.526,25.444,13630.004,435104.651,84.1,0,0.00217533730418714,0.0107248132278337,6684873.07686816
"FRANKLIN","160801040002","CHATEAUGAY HIGH SCHOOL","CHATEAUGAY CENTRAL SCHOOL DISTRICT","Proficient",31.667,5.667,0,1,0,0,0,99,0,12.667,47.667,38.333,4,18.661,228.667,1,10.719,46.139,214531.12,51319.242,84.411,0,0.00160762248318858,0.0139157370556982,3079
"NASSAU","280402030002","WILLETS ROAD SCHOOL","EAST WILLISTON UNION FREE SCHOOL DISTRICT","Proficient",2.667,0.333,1.333,0,1,5.667,21,72,0.333,13,46.333,4.333,1.333,19.78,425.333,0,11.6,27.9,218261,123188.088,85.354,0,0.00141715697438313,0.0106720145400836,8865
"KINGS","332200010236","PS 236 MILL BASIN","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",35.667,8,6,1,22.333,12.333,9.333,52.333,2.667,15.333,49.667,44,0,25.333,442,20.333,12.75,18.7,97156.897,58845839.367,88.7,0,0.00627668927886969,0.014459509017006,8461961
"WESTCHESTER","660412020004","KAPLAN CAREER ACADEMY","GREENBURGH-NORTH CASTLE UNION FREE SCHOOL DISTRICT","Proficient",41,7,4.667,0,38,26.333,0.667,32.667,2.333,97.667,33.667,51,41.667,6.139,57.333,7.667,4.526,25.444,13630.004,435104.651,84.1,0,0.00217533730418714,0.0107248132278337,6684873.07686816
"ONEIDA","411501060003","HUGHES ELEMENTARY SCHOOL","NEW HARTFORD CENTRAL SCHOOL DISTRICT","Proficient",6.667,1.667,0,0,1,4.333,6.667,85.667,2.667,7,49.333,9,0,20,426.667,0,12.929,29.073,169914.386,105771.094,93.077,0,0.00259900883800428,0.0207680217128035,17543
"NASSAU","280409030007","HERRICKS MIDDLE SCHOOL","HERRICKS UNION FREE SCHOOL DISTRICT","Proficient",5.333,2,2,0,1,6.667,58.333,35,0,14,46.667,8.667,2.667,22.956,932,0,13.005,30.722,127201.895,111187.768,93.109,0,0.00141715697438313,0.0106720145400836,25367
"NIAGARA","400301060006","LEWISTON PORTER SENIOR HIGH SCHOOL","LEWISTON-PORTER CENTRAL SCHOOL DISTRICT","Proficient",12.333,4.333,0,1,1.333,2.333,2,93,0.667,16.333,48,18.333,2.667,20.833,731.667,0,12.912,31.582,98160.725,55306.606,86.539,0,0.0201076253172572,0.0939633382386482,18681
"WESTCHESTER","660803020002","LITTLE SCHOOL","HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT","Proficient",25.667,1,2.667,3.333,44.333,44.333,0,8,1,100,14.667,36.333,42.333,22.433,30,6.667,7.5,29.368,102500.358,695766.667,84.478,0,0.00217533730418714,0.0107248132278337,2786295.7022071
"KINGS","332200010234","JHS 234 ARTHUR W CUNNINGHAM","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",54.333,9.667,8.667,0.333,16.667,11.667,26,44,0.333,11.667,47.667,64,1,33.75,1921,4.333,18.895,18.176,207219.653,13539750.651,83.637,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280403030007","HARBOR HILL SCHOOL","ROSLYN UNION FREE SCHOOL DISTRICT","Proficient",3.333,2,2.333,0,1,4.333,13,81.667,0,7.667,51.667,5.333,0,21.333,500.333,0,12.829,19.131,141907.61,194874.084,87.581,0,0.00141715697438313,0.0106720145400836,18460
"NASSAU","280521030003","CHARLES CAMPAGNE SCHOOL","BETHPAGE UNION FREE SCHOOL DISTRICT","Proficient",9.667,2.667,4,0,1,17.333,13.333,66.333,2.333,9.667,49,14.333,1,20.333,310,0,11.481,21.952,179706.126,251725.806,93.329,0,0.00141715697438313,0.0106720145400836,18754
"KINGS","332200010254","PS 254 DAG HAMMARSKJOLD","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",52.667,9,17.333,0.667,2.333,8.333,32,56.333,0,11.667,49.333,61.667,0,27.667,571.333,8,13.603,23.341,127279.347,45524844.224,97.782,0,0.00627668927886969,0.014459509017006,8461961
"MONROE","260803060001","BRIARWOOD SCHOOL","WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT","Proficient",11,5.333,1.667,0,3.667,9.667,2.667,81.333,3,4,53.333,18.667,1,19.667,117.667,0,16.045,22.573,29276.719,522475.921,82.845,0,0.0033319274567693,0.0240602427005643,23727
"KINGS","332100010101","PS 101 VERRAZANO (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #21","Proficient",55,2.333,17.667,0,1,17.667,52.667,28.667,0.333,19.667,46.667,57.333,0,26.667,761.333,0,12.413,35.242,130244.513,34163565.236,87.587,0,0.00627668927886969,0.014459509017006,8461961
"WESTCHESTER","661004060001","DOUGLAS G GRAFFLIN SCHOOL","CHAPPAQUA CENTRAL SCHOOL DISTRICT","Proficient",3,0,2.667,0,0.667,5.667,12.667,77,4.333,7.667,46,3.333,0,20.667,352.667,0,11.137,8.225,175568.248,335430.057,96.143,0,0.00217533730418714,0.0107248132278337,16627
"ONONDAGA","421001060005","EAGLE HILL MIDDLE SCHOOL","FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT","Proficient",3.667,2.333,0.667,0,2.333,1.333,11,83.333,1,9.333,50.333,7,1.667,18.333,649.667,0,11.957,25.059,110872.783,120407.901,91.721,0,0.00313128939215896,0.0227317594274116,25089
"KINGS","332000010201","JHS 201 DYKER HEIGHTS (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",63.333,10.667,8.667,0,0.333,13.667,45.333,39.333,0.333,12.333,47.667,74,0.667,29.667,1438,6.667,17.975,28.394,73013.103,18087525.035,87.143,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280407030006","E M BAKER SCHOOL","GREAT NECK UNION FREE SCHOOL DISTRICT","Proficient",8,6.333,3.667,0,0.333,6.667,35,55.333,2.333,10.333,49,15.667,0,19.333,512,0,9.089,24.9,153606,410126.953,83.324,0,0.00141715697438313,0.0106720145400836,45310
