"COUNTY_NAME","ENTITY_CD","ENTITY_NAME","DISTRICT_NAME","PROF_LEVEL","PER_FREE_LUNCH","PER_REDUCED_LUNCH","PER_LEP","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_ECDIS","PER_SUSPENSIONS","MEAN_CLASS_SIZE","MEAN_ENROLL","PER_NOT_HQ","STUD_TEACH_RATIO","PER_HS_DEGREE","MEAN_INC","EXP_PER_ST","MEAN_TEACH_SCORE","CHARTER","VIOL_CRIME_PER_CITIZEN","PROP_CRIME_PER_CITIZEN","TOTAL_DIST_POP"
"NASSAU","280503060001","BAYVILLE ELEMENTARY SCHOOL","LOCUST VALLEY CENTRAL SCHOOL DISTRICT","Proficient",13.333,3.333,4.667,0,1,14.667,2,81,1,21,47.333,19.667,0,20.667,336,0,10.182,32.935,120675.522,229285.714,89.135,0,0.00141715697438313,0.0106720145400836,15359
"KINGS","332000010748","PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",54.667,7,15.333,1,0.333,19,39,40,1,12.333,48.667,61.667,0,27.667,423.667,0,11.769,32.308,142316.7,61392276.161,85.842,0,0.00627668927886969,0.014459509017006,8461961
"QUEENS","342500010024","PS 24 ANDREW JACKSON","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",50,1.667,38.667,0,3,10.333,84.333,1.667,0.333,12,48.333,52.333,0,31,850.667,0,15.851,20.747,159363.022,30575855.408,86,0,0.00464932850969108,0.0126289441911748,8461961
"BRONX","320800861030","ICAHN CHARTER SCHOOL 7",NA,"Proficient",56.667,9.333,4,0.667,47.333,44,5.333,2.667,0.333,5.667,56,71,50,18.333,100.667,2.667,8.882,31.16,71896.804,206711.921,92.781,1,0.00911660408481436,0.0160715764710795,2882819.54991704
"NASSAU","280214030003","OGDEN ELEMENTARY SCHOOL","HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT","Proficient",18.333,7.333,5,0.667,10.333,11,14.333,60.667,3.333,12,47.667,27,0,20.667,376.333,0,12.977,29.489,126747.744,262883.968,94.462,0,0.00141715697438313,0.0106720145400836,19272
"MONROE","260803060014","LISTWOOD SCHOOL","WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT","Proficient",7.333,2.667,0.667,1,5.333,8.333,1.333,82.667,1.333,4,52,10.333,0,19.667,111,0,15.136,29.237,132689.505,553855.856,93.973,0,0.0033319274567693,0.0240602427005643,23727
"KINGS","332300860941","LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL",NA,"Proficient",70.667,12.333,2.333,0.667,84.333,12,0,0.333,2.333,10.667,50,85,9.333,28.333,507.667,21.667,9.826,18.178,160026.85,40989.494,79.798,1,0.00627668927886969,0.014459509017006,3530369.66285534
"QUEENS","342500010163","PS 163 FLUSHING HEIGHTS","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",68,11,41,0,3.333,15,78.667,2.667,0,15,46.667,79,0,25.333,496.333,1.667,13.661,29.214,103615.49,52404018.133,88.878,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342600010216","JHS 216 GEORGE J RYAN","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",54.667,11.667,8.667,1,5.667,10,69.667,13.333,0.667,11.333,48.667,66.333,0,35.25,1377.667,8,19.223,30.157,47303.051,18879647.472,84.478,0,0.00464932850969108,0.0126289441911748,8461961
"WESTCHESTER","661004060005","WESTORCHARD SCHOOL","CHAPPAQUA CENTRAL SCHOOL DISTRICT","Proficient",0.667,0,3,0,0.667,5,10.667,79.667,3.333,7,48,2,0.333,20.667,365,0,11.406,26.498,142161.893,324095.89,88.471,0,0.00217533730418714,0.0107248132278337,16627
